timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
108878, 0, 0.50, 0.50, -0.56, -0.16, -0.23, -0.00, 1.32, 52.80, 0.01, 0.04, 1.00, 0.00, 0.06, 1.00, 0.00, 0.03, 1.00, 0.00, 0.04, 1.00, 0.00, 0.00, 0.50, 1.00, 0.06, 0.05, 0.05
108921, 0, 0.50, 0.50, -0.57, 0.23, 1.42, 0.00, 1.32, 52.80, 0.01, 0.11, 1.00, 0.75, 0.14, 0.00, 0.95, 0.08, 0.00, 0.46, 0.13, 0.00, 0.72, 57.30, 0.50, 1.00, 0.13, 0.05, 0.05
108938, 0, 0.50, 0.50, -0.70, 0.79, 2.60, 0.01, 1.32, 52.80, 0.01, 0.17, 0.00, 1.32, 0.23, 0.00, 1.51, 0.13, 0.01, 0.98, 0.20, 0.01, 1.53, 57.30, 0.49, 1.00, 0.19, 0.05, 0.05
108946, 0, 0.50, 0.50, -0.64, 1.23, 3.81, 0.03, 1.32, 52.80, 0.01, 0.23, 0.01, 1.56, 0.30, 0.10, 1.72, 0.18, 0.07, 0.81, 0.27, 0.06, 1.65, 55.87, 0.47, 1.00, 0.24, 0.05, 0.05
108958, 0, 0.50, 0.50, -0.54, 1.51, 5.54, 0.05, 1.32, 52.80, 0.01, 0.31, 0.14, 1.60, 0.41, 0.38, 1.42, 0.25, 0.28, 0.75, 0.37, 0.21, 1.61, 54.70, 0.45, 1.00, 0.33, 0.05, 0.05
108975, 0, 0.50, 0.50, -0.50, 1.86, 8.73, 0.07, 1.32, 52.80, 0.01, 0.46, 0.48, 0.46, 0.61, 0.51, 0.26, 0.38, 0.39, 0.09, 0.54, 0.51, 0.58, 53.48, 0.43, 1.00, 0.48, 0.05, 0.05
108985, 0, 0.50, 0.50, -0.51, 1.94, 12.09, 0.10, 1.32, 52.80, 0.01, 0.61, 0.48, 0.42, 0.79, 0.46, 1.02, 0.49, 0.37, 0.53, 0.70, 0.49, 1.02, 51.75, 0.40, 1.00, 0.62, 0.05, 0.05
109001, 0, 0.50, 0.50, -0.49, 2.08, 15.23, 0.13, 1.32, 52.80, 0.01, 0.73, 0.46, 1.88, 0.94, 0.76, 1.68, 0.59, 0.30, 1.77, 0.85, 0.61, 1.81, 48.57, 0.37, 1.00, 0.74, 0.05, 0.05
109011, 0, 0.50, 0.50, -0.57, 2.39, 18.40, 0.16, 1.32, 52.80, 0.01, 0.83, 0.63, 1.39, 1.07, 1.03, 1.16, 0.68, 0.41, 2.37, 0.96, 0.86, 1.44, 45.21, 0.34, 1.00, 0.84, 0.04, 0.05
109025, 0, 0.50, 0.50, -0.61, 2.62, 22.56, 0.19, 1.32, 52.80, 0.01, 0.94, 0.90, 1.28, 1.23, 1.06, 1.44, 0.77, 0.79, 1.32, 1.10, 0.93, 1.68, 42.06, 0.31, 1.00, 0.96, 0.04, 0.05
109041, 0, 0.50, 0.50, -0.65, 2.09, 26.54, 0.22, 1.32, 52.80, 0.01, 1.00, 0.97, 0.89, 1.30, 1.15, 0.89, 0.82, 0.68, 1.11, 1.15, 1.04, 1.21, 38.89, 0.28, 1.00, 1.00, 0.04, 0.05
109051, 0, 0.50, 0.50, -0.62, 2.31, 30.02, 0.25, 1.32, 52.80, 0.01, 0.99, 1.31, 0.67, 1.28, 1.34, 0.89, 0.80, 0.89, 1.37, 1.14, 1.63, 0.70, 34.73, 0.25, 1.00, 0.99, 0.03, 0.05
109065, 0, 0.50, 0.50, -0.62, 2.89, 34.64, 0.29, 1.32, 52.80, 0.01, 0.97, 0.87, 1.19, 1.25, 1.17, 0.86, 0.79, 0.83, 0.77, 1.13, 0.92, 1.23, 30.75, 0.21, 1.00, 0.98, 0.03, 0.05
109082, 0, 0.50, 0.50, -0.63, 2.53, 38.81, 0.32, 1.32, 52.80, 0.01, 0.82, 1.04, 0.61, 1.06, 1.07, 0.91, 0.66, 0.82, 0.82, 0.94, 1.35, 1.18, 27.28, 0.18, 1.00, 0.83, 0.02, 0.05
109091, 0, 0.50, 0.50, -0.56, 2.64, 42.43, 0.36, 1.32, 52.80, 0.01, 0.61, 1.01, 0.28, 0.79, 1.11, 1.37, 0.49, 0.79, 0.46, 0.70, 1.41, 0.75, 22.65, 0.14, 1.00, 0.62, 0.01, 0.05
109105, 0, 0.50, 0.50, -0.62, 2.80, 46.22, 0.40, 1.32, 52.80, 0.01, 0.37, 1.04, 0.49, 0.48, 1.00, 0.54, 0.30, 0.61, 0.32, 0.42, 0.87, 0.33, 18.49, 0.10, 1.00, 0.38, 0.01, 0.05
109122, 0, 0.50, 0.50, -0.78, 2.58, 49.37, 0.43, 1.32, 52.80, 0.01, 0.03, 0.72, 0.42, 0.04, 0.79, 0.49, 0.03, 0.42, 0.19, 0.04, 0.66, 0.40, 14.87, 0.07, 1.00, 0.05, 0.00, 0.05
109131, 0, 0.50, 0.50, -1.30, 1.74, 51.31, 0.45, 1.32, 52.80, 0.01, 0.00, 0.54, 0.35, 0.00, 0.58, 0.28, 0.00, 0.35, 0.23, 0.00, 0.55, 0.37, 11.07, 0.05, 1.00, -0.26, -0.01, 0.05
109145, 0, 0.50, 0.50, -1.07, -0.33, 50.83, 0.45, 1.32, 52.80, 0.01, 0.00, 0.44, 0.28, 0.00, 0.61, 0.42, 0.00, 0.32, 0.21, 0.00, 0.49, 0.33, 7.92, 0.05, 1.00, -0.45, -0.01, 0.05
109160, 0, 0.50, 0.50, -0.95, -0.87, 50.04, 0.44, 1.32, 52.80, 0.01, 0.00, 0.38, 0.26, 0.00, 0.52, 0.42, 0.00, 0.27, 0.14, 0.00, 0.39, 0.28, 5.99, 0.06, 1.00, -0.39, -0.01, 0.05
109171, 0, 0.50, 0.50, -1.22, -1.66, 48.84, 0.42, 1.32, 52.80, 0.01, 0.00, 0.35, 0.25, 0.00, 0.52, 0.40, 0.00, 0.27, 0.07, 0.00, 0.34, 0.26, 6.47, 0.08, 1.00, -0.31, -0.01, 0.05
109185, 0, 0.50, 0.50, -0.86, -1.99, 46.54, 0.39, 1.32, 52.80, 0.01, 0.00, 0.32, 0.21, 0.00, 0.51, 0.39, 0.00, 0.20, 0.12, 0.00, 0.31, 0.21, 7.26, 0.11, 1.00, -0.20, -0.00, 0.05
109234, 0, 0.50, 0.50, -0.83, -2.20, 43.67, 0.36, 1.32, 52.80, 0.01, 0.00, 0.30, 0.19, 0.00, 0.38, 0.30, 0.00, 0.21, 0.18, 0.00, 0.23, 0.19, 8.46, 0.14, 1.00, -0.02, -0.00, 0.05
109241, 0, 0.50, 0.50, -0.81, -2.31, 41.18, 0.33, 1.32, 52.80, 0.01, 0.15, 0.28, 0.18, 0.20, 0.37, 0.28, 0.11, 0.23, 0.18, 0.17, 0.23, 0.18, 10.76, 0.17, 1.00, 0.17, 0.00, 0.05
109251, 0, 0.50, 0.50, -0.81, -2.30, 38.62, 0.30, 1.32, 52.80, 0.01, 0.28, 0.27, 0.18, 0.37, 0.35, 0.23, 0.23, 0.23, 0.16, 0.32, 0.23, 0.19, 13.62, 0.20, 1.00, 0.30, 0.01, 0.05
109268, 0, 0.50, 0.50, -0.70, -2.37, 34.95, 0.27, 1.32, 52.80, 0.01, 0.38, 0.24, 0.14, 0.49, 0.31, 0.23, 0.31, 0.20, 0.14, 0.44, 0.24, 0.19, 16.12, 0.23, 1.00, 0.39, 0.01, 0.05
109278, 0, 0.50, 0.50, -0.48, -2.27, 31.74, 0.24, 1.32, 52.80, 0.01, 0.49, 0.23, 0.12, 0.63, 0.30, 0.19, 0.39, 0.18, 0.12, 0.56, 0.24, 0.21, 18.67, 0.26, 1.00, 0.50, 0.02, 0.05
109291, 0, 0.50, 0.50, -0.55, -2.21, 29.45, 0.21, 1.32, 52.80, 0.01, 0.56, 0.21, 0.11, 0.73, 0.25, 0.16, 0.45, 0.17, 0.11, 0.65, 0.24, 0.16, 22.35, 0.29, 1.00, 0.57, 0.02, 0.05
109308, 0, 0.50, 0.50, -0.73, -2.18, 26.32, 0.18, 1.32, 52.80, 0.01, 0.56, 0.20, 0.09, 0.73, 0.24, 0.12, 0.46, 0.17, 0.09, 0.65, 0.20, 0.12, 25.55, 0.32, 1.00, 0.58, 0.02, 0.05
109318, 0, 0.50, 0.50, -0.74, -1.94, 23.05, 0.15, 1.32, 52.80, 0.01, 0.56, 0.17, 0.07, 0.73, 0.23, 0.14, 0.45, 0.15, 0.09, 0.65, 0.18, 0.14, 27.85, 0.35, 1.00, 0.57, 0.02, 0.05
109335, 0, 0.50, 0.50, -0.63, -1.76, 19.57, 0.13, 1.32, 52.80, 0.01, 0.54, 0.15, 0.07, 0.69, 0.18, 0.12, 0.42, 0.14, 0.05, 0.62, 0.17, 0.09, 30.97, 0.37, 1.00, 0.54, 0.03, 0.05
109345, 0, 0.50, 0.50, -0.28, -1.67, 16.79, 0.11, 1.32, 52.80, 0.01, 0.49, 0.15, 0.07, 0.65, 0.18, 0.11, 0.41, 0.14, 0.05, 0.58, 0.17, 0.11, 34.25, 0.39, 1.00, 0.51, 0.03, 0.05
109358, 0, 0.50, 0.50, -0.40, -1.62, 15.06, 0.09, 1.32, 52.80, 0.01, 0.48, 0.14, 0.04, 0.62, 0.17, 0.07, 0.38, 0.14, 0.02, 0.55, 0.15, 0.07, 37.73, 0.41, 1.00, 0.49, 0.03, 0.05
109373, 0, 0.50, 0.50, -0.50, -1.64, 13.54, 0.06, 1.32, 52.80, 0.01, 0.44, 0.11, 0.05, 0.58, 0.15, 0.09, 0.35, 0.13, 0.16, 0.51, 0.14, 1.11, 40.51, 0.44, 1.00, 0.46, 0.03, 0.05
109385, 0, 0.50, 0.50, -0.26, -1.35, 12.30, 0.05, 1.32, 52.80, 0.01, 0.41, 0.11, 0.04, 0.54, 0.15, 0.05, 0.34, 0.11, 0.42, 0.48, 0.23, 1.23, 42.23, 0.45, 1.00, 0.43, 0.03, 0.05
109398, 0, 0.50, 0.50, -0.26, -0.95, 11.73, 0.03, 1.32, 52.80, 0.01, 0.41, 0.11, 0.02, 0.52, 0.13, 0.39, 0.32, 0.13, 0.98, 0.46, 0.44, 1.09, 43.75, 0.47, 1.00, 0.42, 0.03, 0.05
109411, 0, 0.50, 0.50, -0.44, -0.48, 11.33, 0.03, 1.32, 52.80, 0.01, 0.39, 0.10, 0.54, 0.51, 0.14, 1.30, 0.32, 0.21, 0.79, 0.46, 0.49, 0.44, 44.99, 0.47, 1.00, 0.41, 0.03, 0.05
109425, 0, 0.50, 0.50, -0.68, 0.08, 11.52, 0.03, 1.32, 52.80, 0.01, 0.41, 0.13, 1.12, 0.52, 0.32, 1.25, 0.32, 0.41, 0.18, 0.46, 0.48, 0.47, 45.56, 0.47, 1.00, 0.42, 0.03, 0.05
109438, 0, 0.50, 0.50, -0.73, 1.12, 11.99, 0.04, 1.32, 52.80, 0.01, 0.42, 0.24, 1.14, 0.55, 0.44, 0.96, 0.34, 0.39, 0.14, 0.48, 0.39, 0.89, 45.97, 0.46, 1.00, 0.43, 0.03, 0.05
109516, 0, 0.50, 0.50, -0.79, 1.85, 15.47, 0.07, 1.32, 52.80, 0.01, 0.52, 0.46, 0.65, 0.68, 0.55, 0.81, 0.42, 0.38, 0.91, 0.61, 0.45, 1.37, 45.78, 0.43, 1.00, 0.54, 0.03, 0.05
109524, 0, 0.50, 0.50, -0.76, 1.78, 20.27, 0.09, 1.32, 52.80, 0.01, 0.62, 0.48, 0.93, 0.80, 0.55, 1.19, 0.51, 0.49, 0.70, 0.72, 0.49, 1.53, 45.30, 0.41, 1.00, 0.64, 0.03, 0.05
109532, 0, 0.50, 0.50, -0.73, 1.75, 25.23, 0.11, 1.32, 52.80, 0.01, 0.65, 0.51, 1.23, 0.85, 0.63, 1.49, 0.52, 0.49, 0.39, 0.75, 0.62, 1.79, 41.83, 0.39, 1.00, 0.66, 0.02, 0.05
109545, 0, 0.50, 0.50, -0.71, 1.89, 30.66, 0.14, 1.32, 52.80, 0.01, 0.61, 0.65, 1.12, 0.79, 0.83, 1.21, 0.49, 0.48, 0.79, 0.70, 0.73, 1.28, 37.03, 0.36, 1.00, 0.62, 0.02, 0.05
109558, 0, 0.50, 0.50, -0.69, 2.18, 35.68, 0.17, 1.32, 52.80, 0.01, 0.44, 0.76, 0.11, 0.56, 1.03, 0.26, 0.35, 0.45, 0.84, 0.51, 0.89, 0.60, 32.07, 0.33, 1.00, 0.45, 0.01, 0.05
109571, 0, 0.50, 0.50, -0.70, 2.10, 40.26, 0.20, 1.32, 52.80, 0.01, 0.17, 0.58, 0.25, 0.23, 0.70, 0.23, 0.14, 0.54, 0.28, 0.20, 0.66, 0.28, 26.64, 0.30, 1.00, 0.19, 0.00, 0.05
109598, 0, 0.50, 0.50, -0.67, 0.96, 43.36, 0.21, 1.32, 52.80, 0.01, 0.00, 0.39, 0.28, 0.00, 0.48, 0.39, 0.00, 0.37, 0.18, 0.00, 0.41, 0.32, 21.61, 0.29, 1.00, -0.12, -0.00, 0.05
109611, 0, 0.50, 0.50, -0.72, -1.19, 44.39, 0.19, 1.32, 52.80, 0.01, 0.00, 0.34, 0.23, 0.00, 0.48, 0.39, 0.00, 0.32, 0.14, 0.00, 0.37, 0.28, 17.03, 0.31, 1.00, -0.36, -0.01, 0.05
109625, 0, 0.50, 0.50, -0.87, -1.83, 43.38, 0.17, 1.32, 52.80, 0.01, 0.00, 0.34, 0.25, 0.00, 0.46, 0.39, 0.00, 0.27, 0.05, 0.00, 0.34, 0.25, 13.93, 0.33, 1.00, -0.42, -0.01, 0.05
109639, 0, 0.50, 0.50, -0.87, -2.01, 41.88, 0.14, 1.32, 52.80, 0.01, 0.00, 0.32, 0.19, 0.00, 0.44, 0.37, 0.00, 0.20, 0.02, 0.00, 0.31, 0.25, 12.90, 0.36, 1.00, -0.34, -0.01, 0.05
109651, 0, 0.50, 0.50, -0.77, -2.38, 40.32, 0.11, 1.32, 52.80, 0.01, 0.00, 0.31, 0.19, 0.00, 0.41, 0.32, 0.00, 0.20, 0.09, 0.00, 0.30, 0.25, 13.92, 0.39, 1.00, -0.24, -0.01, 0.05
109665, 0, 0.50, 0.50, -0.74, -2.61, 39.14, 0.08, 1.32, 52.80, 0.01, 0.00, 0.28, 0.19, 0.00, 0.38, 0.30, 0.00, 0.15, 0.12, 0.00, 0.28, 0.21, 15.42, 0.42, 1.00, -0.14, -0.00, 0.05
109678, 0, 0.50, 0.50, -0.80, -2.63, 37.68, 0.04, 1.32, 52.80, 0.01, 0.00, 0.27, 0.16, 0.00, 0.35, 0.25, 0.00, 0.15, 0.16, 0.00, 0.27, 0.21, 16.98, 0.46, 1.00, -0.07, -0.00, 0.05
109691, 0, 0.50, 0.50, -0.76, -2.36, 35.70, 0.01, 1.32, 52.80, 0.01, 0.00, 0.25, 0.14, 0.00, 0.31, 0.25, 0.00, 0.15, 0.14, 0.00, 0.25, 0.19, 18.16, 0.49, 1.00, 0.01, -0.00, 0.05
109705, 0, 0.50, 0.50, -0.70, -2.12, 32.77, -0.02, 1.32, 52.80, 0.01, 0.07, 0.23, 0.14, 0.10, 0.30, 0.21, 0.06, 0.20, 0.14, 0.08, 0.24, 0.16, 19.62, 0.52, 1.00, 0.09, 0.00, 0.05
109718, 0, 0.50, 0.50, -0.65, -2.13, 29.67, -0.05, 1.32, 52.80, 0.01, 0.17, 0.20, 0.09, 0.23, 0.28, 0.19, 0.13, 0.18, 0.11, 0.20, 0.24, 0.14, 21.60, 0.55, 1.00, 0.18, 0.01, 0.05
109731, 0, 0.50, 0.50, -0.69, -2.02, 26.96, -0.07, 1.32, 52.80, 0.01, 0.24, 0.18, 0.09, 0.31, 0.27, 0.16, 0.20, 0.17, 0.11, 0.28, 0.21, 0.16, 24.53, 0.57, 1.00, 0.26, 0.01, 0.05
109745, 0, 0.50, 0.50, -0.62, -1.82, 23.98, -0.10, 1.32, 52.80, 0.01, 0.28, 0.18, 0.09, 0.37, 0.24, 0.16, 0.23, 0.15, 0.07, 0.32, 0.21, 0.14, 27.62, 0.60, 1.00, 0.29, 0.01, 0.05
109758, 0, 0.50, 0.50, -0.72, -1.77, 21.44, -0.12, 1.32, 52.80, 0.01, 0.30, 0.15, 0.07, 0.39, 0.23, 0.12, 0.24, 0.15, 0.09, 0.35, 0.20, 0.11, 30.34, 0.62, 1.00, 0.32, 0.01, 0.05
109771, 0, 0.50, 0.50, -0.65, -1.80, 19.01, -0.15, 1.32, 52.80, 0.01, 0.31, 0.15, 0.04, 0.41, 0.18, 0.11, 0.25, 0.14, 0.05, 0.35, 0.17, 0.11, 33.32, 0.65, 1.00, 0.32, 0.02, 0.05
109785, 0, 0.50, 0.50, -0.68, -1.68, 16.88, -0.17, 1.32, 52.80, 0.01, 0.31, 0.14, 0.05, 0.39, 0.17, 0.09, 0.24, 0.11, 0.04, 0.35, 0.17, 0.07, 35.86, 0.67, 1.00, 0.32, 0.02, 0.05
109798, 0, 0.50, 0.50, -0.65, -1.65, 14.86, -0.19, 1.32, 52.80, 0.01, 0.30, 0.14, 0.04, 0.38, 0.15, 0.09, 0.24, 0.11, 0.05, 0.34, 0.15, 0.05, 38.29, 0.69, 1.00, 0.31, 0.02, 0.05
109811, 0, 0.50, 0.50, -0.65, -1.60, 13.19, -0.21, 1.32, 52.80, 0.01, 0.27, 0.13, 0.02, 0.37, 0.13, 0.05, 0.23, 0.11, 0.02, 0.32, 0.13, 0.05, 40.41, 0.71, 1.00, 0.29, 0.02, 0.05
109825, 0, 0.50, 0.50, -0.63, -1.60, 11.51, -0.23, 1.32, 52.80, 0.01, 0.25, 0.13, 0.02, 0.34, 0.13, 0.04, 0.20, 0.10, 0.02, 0.30, 0.13, 0.05, 42.44, 0.73, 1.00, 0.27, 0.02, 0.05
109838, 0, 0.50, 0.50, -0.63, -1.46, 9.88, -0.25, 1.32, 52.80, 0.01, 0.23, 0.13, 0.00, 0.30, 0.13, 0.04, 0.18, 0.10, 0.00, 0.27, 0.13, 0.02, 44.10, 0.75, 1.00, 0.25, 0.02, 0.05
109851, 0, 0.50, 0.50, -0.60, -1.42, 8.29, -0.27, 1.32, 52.80, 0.01, 0.20, 0.10, 0.00, 0.27, 0.11, 0.02, 0.15, 0.10, 0.00, 0.24, 0.13, 0.00, 45.79, 0.77, 1.00, 0.22, 0.02, 0.05
109865, 0, 0.50, 0.50, -0.58, -1.34, 7.02, -0.29, 1.32, 52.80, 0.01, 0.18, 0.10, 0.00, 0.24, 0.11, 0.02, 0.14, 0.10, 0.00, 0.21, 0.10, 0.00, 47.41, 0.79, 1.00, 0.20, 0.02, 0.05
109878, 0, 0.50, 0.50, -0.56, -1.34, 5.80, -0.31, 1.32, 52.80, 0.01, 0.15, 0.10, 0.00, 0.21, 0.11, 0.00, 0.13, 0.10, 0.00, 0.18, 0.10, 0.00, 49.01, 0.81, 1.00, 0.17, 0.02, 0.05
109891, 0, 0.50, 0.50, -0.57, -1.28, 4.70, -0.33, 1.32, 52.80, 0.01, 0.14, 0.10, 0.00, 0.18, 0.11, 0.00, 0.11, 0.10, 0.00, 0.15, 0.10, 0.00, 50.27, 0.83, 1.00, 0.15, 0.02, 0.05
109919, 0, 0.50, 0.50, -0.55, -1.08, 3.61, -0.34, 1.32, 52.80, 0.01, 0.11, 0.10, 0.00, 0.15, 0.11, 0.00, 0.08, 0.10, 0.00, 0.13, 0.10, 0.00, 51.49, 0.84, 1.00, 0.13, 0.02, 0.05
109931, 0, 0.50, 0.50, -0.56, -0.85, 2.83, -0.35, 1.32, 52.80, 0.01, 0.10, 0.10, 0.00, 0.13, 0.11, 0.00, 0.07, 0.10, 0.00, 0.11, 0.10, 0.00, 52.60, 0.85, 1.00, 0.12, 0.02, 0.05
109945, 0, 0.50, 0.50, -0.57, -0.69, 2.31, -0.36, 1.32, 52.80, 0.01, 0.08, 0.10, 0.00, 0.11, 0.11, 0.00, 0.07, 0.10, 0.00, 0.10, 0.10, 0.00, 53.69, 0.86, 1.00, 0.11, 0.02, 0.05
109958, 0, 0.50, 0.50, -0.56, -0.59, 1.90, -0.37, 1.32, 52.80, 0.01, 0.07, 0.10, 0.00, 0.10, 0.11, 0.00, 0.06, 0.10, 0.00, 0.10, 0.10, 0.00, 54.46, 0.87, 1.00, 0.10, 0.02, 0.05
109971, 0, 0.50, 0.50, -0.56, -0.47, 1.56, -0.37, 1.32, 52.80, 0.01, 0.07, 0.10, 0.00, 0.10, 0.11, 0.00, 0.06, 0.10, 0.00, 0.08, 0.10, 0.00, 54.99, 0.87, 1.00, 0.09, 0.02, 0.05
109985, 0, 0.50, 0.50, -0.56, -0.40, 1.31, -0.38, 1.32, 52.80, 0.01, 0.07, 0.10, 0.00, 0.08, 0.11, 0.00, 0.04, 0.10, 0.00, 0.08, 0.10, 0.00, 55.40, 0.88, 1.00, 0.08, 0.02, 0.05
109998, 0, 0.50, 0.50, -0.56, -0.38, 1.11, -0.38, 1.32, 52.80, 0.01, 0.06, 0.10, 0.00, 0.08, 0.11, 0.00, 0.04, 0.10, 0.00, 0.07, 0.10, 0.00, 55.73, 0.88, 1.00, 0.08, 0.02, 0.05
110011, 0, 0.50, 0.50, -0.56, -0.32, 0.94, -0.39, 1.32, 52.80, 0.01, 0.06, 0.10, 0.00, 0.08, 0.11, 0.00, 0.04, 0.10, 0.00, 0.07, 0.10, 0.00, 55.99, 0.89, 1.00, 0.08, 0.02, 0.05
110025, 0, 0.50, 0.50, -0.56, -0.30, 0.82, -0.39, 1.32, 52.80, 0.01, 0.06, 0.10, 0.00, 0.07, 0.11, 0.00, 0.04, 0.10, 0.00, 0.07, 0.10, 0.00, 56.19, 0.89, 1.00, 0.07, 0.02, 0.05
110038, 0, 0.50, 0.50, -0.56, -0.28, 0.71, -0.40, 1.32, 52.80, 0.01, 0.06, 0.10, 0.00, 0.07, 0.11, 0.00, 0.04, 0.10, 0.00, 0.06, 0.10, 0.00, 56.36, 0.90, 1.00, 0.07, 0.02, 0.05
110051, 0, 0.50, 0.50, -0.56, -0.25, 0.61, -0.40, 1.32, 52.80, 0.01, 0.06, 0.10, 0.00, 0.07, 0.11, 0.00, 0.04, 0.10, 0.00, 0.06, 0.10, 0.00, 56.48, 0.90, 1.00, 0.07, 0.02, 0.05
110128, 0, 0.50, 0.50, -0.56, -0.23, 0.52, -0.40, 1.32, 52.80, 0.01, 0.04, 0.10, 0.00, 0.07, 0.11, 0.00, 0.04, 0.10, 0.00, 0.06, 0.10, 0.00, 56.59, 0.90, 1.00, 0.07, 0.02, 0.05
110136, 0, 0.50, 0.50, -0.56, -0.22, 0.46, -0.41, 1.32, 52.80, 0.01, 0.04, 0.10, 0.00, 0.07, 0.11, 0.00, 0.03, 0.10, 0.00, 0.06, 0.10, 0.00, 56.69, 0.91, 1.00, 0.07, 0.02, 0.05
110145, 0, 0.50, 0.50, -0.56, -0.21, 0.40, -0.41, 1.32, 52.80, 0.01, 0.04, 0.10, 0.00, 0.07, 0.11, 0.00, 0.03, 0.10, 0.00, 0.06, 0.10, 0.00, 56.77, 0.91, 1.00, 0.07, 0.02, 0.05
110158, 0, 0.50, 0.50, -0.56, -0.20, 0.36, -0.41, 1.32, 52.80, 0.01, 0.04, 0.10, 0.00, 0.07, 0.11, 0.00, 0.03, 0.10, 0.00, 0.06, 0.10, 0.00, 56.83, 0.91, 1.00, 0.06, 0.02, 0.05
110171, 0, 0.50, 0.50, -0.56, -0.19, 0.32, -0.41, 1.32, 52.80, 0.01, 0.04, 0.10, 0.00, 0.06, 0.11, 0.00, 0.03, 0.10, 0.00, 0.06, 0.10, 0.00, 56.89, 0.91, 1.00, 0.06, 0.02, 0.05
110185, 0, 0.50, 0.50, -0.56, -0.19, 0.27, -0.42, 1.32, 52.80, 0.01, 0.04, 0.10, 0.00, 0.06, 0.11, 0.00, 0.03, 0.10, 0.00, 0.06, 0.10, 0.00, 56.93, 0.92, 1.00, 0.06, 0.02, 0.05
110198, 0, 0.50, 0.50, -0.56, -0.18, 0.24, -0.42, 1.32, 52.80, 0.01, 0.04, 0.10, 0.00, 0.06, 0.11, 0.00, 0.03, 0.10, 0.00, 0.06, 0.10, 0.00, 56.98, 0.92, 1.00, 0.06, 0.02, 0.05
110211, 0, 0.50, 0.50, -0.56, -0.18, 0.20, -0.42, 1.32, 52.80, 0.01, 0.04, 0.10, 0.00, 0.06, 0.11, 0.00, 0.03, 0.10, 0.00, 0.06, 0.10, 0.00, 57.02, 0.92, 1.00, 0.06, 0.02, 0.05
110225, 0, 0.50, 0.50, -0.56, -0.18, 0.18, -0.42, 1.32, 52.80, 0.01, 0.04, 0.10, 0.00, 0.06, 0.11, 0.00, 0.03, 0.10, 0.00, 0.06, 0.10, 0.00, 57.06, 0.92, 1.00, 0.06, 0.02, 0.05
110238, 0, 0.50, 0.50, -0.56, -0.17, 0.15, -0.43, 1.32, 52.80, 0.01, 0.04, 0.10, 0.00, 0.06, 0.11, 0.00, 0.03, 0.10, 0.00, 0.06, 0.10, 0.00, 57.09, 0.93, 1.00, 0.06, 0.02, 0.05
