timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
30190, 0, 0.30, 0.50, -0.52, -0.17, -0.23, 1.32, 52.80, 0.01, 0.28, 1.00, 0.47, 0.37, 1.00, 0.61, 0.23, 1.00, 0.42, 0.32, 1.00, 0.58
30238, 0, 0.30, 0.50, -0.34, 0.77, 3.97, 1.32, 52.80, 0.01, 0.28, 0.49, 0.18, 0.37, 0.62, 0.32, 0.23, 0.44, 0.23, 0.32, 0.48, 0.21
30243, 0, 0.30, 0.50, -0.58, 1.20, 6.78, 1.32, 52.80, 0.01, 0.28, 0.44, 0.16, 0.37, 0.55, 0.19, 0.23, 0.44, 0.16, 0.32, 0.44, 0.25
30258, 0, 0.30, 0.50, -0.62, 1.73, 8.92, 1.32, 52.80, 0.01, 0.28, 0.37, 0.16, 0.37, 0.42, 0.16, 0.23, 0.37, 0.11, 0.32, 0.32, 0.56
30263, 0, 0.30, 0.50, -0.53, 1.48, 10.78, 1.32, 52.80, 0.01, 0.28, 0.37, 0.04, 0.37, 0.35, 0.21, 0.23, 0.37, 0.02, 0.32, 0.32, 0.77
30270, 0, 0.30, 0.50, -0.47, 1.35, 11.98, 1.32, 52.80, 0.01, 0.28, 0.28, 0.19, 0.37, 0.35, 0.16, 0.23, 0.37, 0.02, 0.32, 0.27, 1.04
30280, 0, 0.30, 0.50, -0.52, 0.85, 13.30, 1.32, 52.80, 0.01, 0.28, 0.28, 0.05, 0.37, 0.28, 0.42, 0.23, 0.37, 0.00, 0.32, 0.24, 1.26
30293, 0, 0.30, 0.50, -0.34, 0.88, 14.64, 1.32, 52.80, 0.01, 0.28, 0.17, 0.49, 0.37, 0.21, 1.14, 0.23, 0.37, 0.00, 0.32, 0.30, 1.25
30300, 0, 0.30, 0.50, -0.17, 0.90, 15.66, 1.32, 52.80, 0.01, 0.28, 0.17, 0.68, 0.37, 0.21, 1.28, 0.23, 0.37, 0.00, 0.32, 0.34, 0.86
30310, 0, 0.30, 0.50, -0.42, 0.91, 17.13, 1.32, 52.80, 0.01, 0.28, 0.18, 0.84, 0.37, 0.28, 1.12, 0.23, 0.37, 0.00, 0.32, 0.41, 0.51
